,CarModel,AgeOfCar,Price,OdoMeterReading,Gas Type,NoOfOwners,Brand,Brand Encoded,Broker,Direct Owner,Trustmark Broker,Manual,Automatic
0,Ford Figo Aspire 1.5 TDCi Trend,8,0.04954943693693693,1.7668625596754624,1,0,Ford,8,1.0,0.0,0.0,0.0,1.0
1,Mahindra Scorpio SLE BSIV,11,0.056869369369369364,1.6892446626099855,1,0,Mahindra,17,0.0,1.0,0.0,0.0,1.0
2,Tata Manza Club Class Quadrajet90 LS,9,0.020270270270270268,0.7243813012988068,1,0,Tata,25,0.0,1.0,0.0,0.0,1.0
3,Toyota Corolla Altis 1.8 VL AT,13,0.037162162162162164,0.2955531407160608,4,4,Toyota,26,0.0,1.0,0.0,1.0,0.0
4,Tata Indigo CS eLS BS IV,12,0.018018018018018014,1.153209461881553,1,0,Tata,25,0.0,1.0,0.0,0.0,1.0
5,Skoda Octavia Classic 1.9 TDI MT,19,0.01126126126126126,1.153209461881553,1,2,Skoda,24,0.0,1.0,0.0,0.0,1.0
6,Ford Ecosport 1.0 Ecoboost Titanium Optional,10,0.037162162162162164,0.7243813012988068,4,0,Ford,8,0.0,1.0,0.0,0.0,1.0
7,Hyundai Getz 1.5 CRDi GVS,15,0.024211711711711707,-0.12881520699662463,1,0,Hyundai,10,1.0,0.0,0.0,0.0,1.0
8,Maruti Alto 800 Base,9,0.017454954954954954,-0.5621031804494312,4,0,Maruti,18,0.0,1.0,0.0,0.0,1.0
9,Datsun GO T BSIV,9,0.029279279279279275,-0.5621031804494312,4,0,Datsun,5,0.0,1.0,0.0,0.0,1.0
10,Maruti Swift Dzire AMT ZXI Plus BS IV,6,0.07770270270270269,-1.2482282373818248,4,0,Maruti,18,0.0,1.0,0.0,1.0,0.0
11,Ford Figo Diesel Celebration Edition,10,0.027027027027027025,-0.02606797972099868,1,0,Ford,8,0.0,1.0,0.0,0.0,1.0
12,Hyundai Santro Magna AMT BSIV,4,0.04279279279279279,-1.0766969731487264,4,0,Hyundai,10,0.0,1.0,0.0,1.0,0.0
13,Honda City i DTEC VX,9,0.0653153153153153,0.7243813012988068,1,0,Honda,9,0.0,1.0,0.0,0.0,1.0
14,Renault Duster 110PS Diesel RxZ,11,0.05292792792792793,0.7243813012988068,1,0,Renault,23,0.0,1.0,0.0,0.0,1.0
15,Skoda Laura L n K 1.9 PD,17,0.037162162162162164,0.7243813012988068,1,0,Skoda,24,0.0,1.0,0.0,0.0,1.0
16,Mitsubishi Pajero Sport 4X4,11,0.12049549549549549,1.153209461881553,1,2,Mitsubishi,20,0.0,1.0,0.0,0.0,1.0
17,Maruti Alto K10 LXI CNG,3,0.029504504504504498,-0.5621031804494312,0,0,Maruti,18,0.0,1.0,0.0,0.0,1.0
18,Maruti Swift Dzire ZXI,8,0.0670045045045045,0.9387953815901798,4,2,Maruti,18,0.0,1.0,0.0,0.0,1.0
19,Maruti Swift VXI,10,0.051238738738738736,-0.1332750198666852,4,2,Maruti,18,0.0,1.0,0.0,0.0,1.0
20,Maruti Ritz VDi,12,0.014639639639639638,-0.5621031804494312,1,2,Maruti,18,0.0,1.0,0.0,0.0,1.0
21,Maruti Ignis 1.2 Alpha BSIV,6,0.05405405405405405,-1.2233347626599964,4,0,Maruti,18,0.0,1.0,0.0,0.0,1.0
22,Hyundai Santro Xing XS,14,0.014639639639639638,0.03825624436641322,4,2,Hyundai,10,0.0,1.0,0.0,0.0,1.0
23,Hyundai Grand i10 1.2 CRDi Magna,8,0.037162162162162164,-0.09772516535437555,1,0,Hyundai,10,1.0,0.0,0.0,0.0,1.0
24,Datsun RediGO T Option,7,0.023648536036036033,-0.6157067005222745,4,2,Datsun,5,0.0,1.0,0.0,0.0,1.0
